               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03317,            0.019799,          0.00096591,             0.89228,             0.65208,             0.75242,             0.37951,            0.048043,            0.024034,          0.00099758,             0.00307,             0.00307,             0.00307
                  37,            0.032839,            0.019802,          0.00093184,             0.87967,             0.65538,             0.76397,             0.38074,            0.047728,            0.023398,           0.0010154,            0.002872,            0.002872,            0.002872
                  38,            0.032619,            0.019625,          0.00095309,             0.88455,             0.63936,             0.75128,             0.37026,            0.049548,            0.024335,           0.0010894,            0.002674,            0.002674,            0.002674
                  39,            0.032362,            0.019477,           0.0008994,             0.87397,             0.65276,             0.76052,              0.3796,            0.048367,            0.024274,           0.0010118,            0.002476,            0.002476,            0.002476
                  40,            0.032753,            0.019363,          0.00092924,             0.89243,             0.64596,               0.757,             0.37935,            0.047674,            0.025065,           0.0011122,            0.002278,            0.002278,            0.002278
                  41,            0.031982,            0.019188,          0.00089528,             0.85348,             0.66993,             0.76502,             0.38093,            0.047469,            0.024601,           0.0010418,             0.00208,             0.00208,             0.00208
                  42,            0.031522,             0.01898,          0.00090919,             0.85296,             0.66656,             0.76437,             0.37926,            0.047684,             0.02466,           0.0011719,            0.001882,            0.001882,            0.001882
                  43,            0.031177,            0.018798,          0.00088834,             0.85667,             0.66828,             0.76394,             0.37838,            0.048076,            0.024517,           0.0012255,            0.001684,            0.001684,            0.001684
                  44,            0.031177,            0.018775,          0.00086778,             0.85633,             0.66925,             0.76475,             0.37726,            0.048411,            0.024309,           0.0011379,            0.001486,            0.001486,            0.001486
                  45,            0.030761,            0.018707,          0.00086599,             0.85084,             0.65615,             0.74982,             0.36957,            0.048536,            0.025549,           0.0012884,            0.001288,            0.001288,            0.001288
                  46,            0.030296,            0.018573,          0.00084329,             0.84585,             0.66033,             0.74873,             0.36766,             0.04922,            0.025408,           0.0012542,             0.00109,             0.00109,             0.00109
                  47,            0.030028,            0.018299,          0.00080783,             0.84904,             0.66101,             0.75193,             0.36533,            0.049222,            0.025486,           0.0011731,            0.000892,            0.000892,            0.000892
                  48,            0.029858,            0.018214,          0.00078139,             0.87197,             0.65208,             0.75433,             0.36796,            0.049331,            0.025185,           0.0010883,            0.000694,            0.000694,            0.000694
                  49,            0.029597,            0.018155,          0.00078176,             0.86268,             0.65149,             0.75151,             0.36537,             0.04913,            0.025537,           0.0010125,            0.000496,            0.000496,            0.000496
