               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0762,             0.03603,            0.014052,             0.57836,              0.4605,             0.47343,             0.17567,            0.064524,            0.026047,           0.0047752,           0.0033249,           0.0033249,            0.070076
                   1,            0.062609,            0.032842,           0.0062092,             0.66774,             0.38752,             0.45546,             0.17058,            0.068614,            0.026418,           0.0051527,           0.0063286,           0.0063286,            0.039746
                   2,             0.06436,            0.034292,           0.0067073,             0.58684,             0.34035,             0.35235,             0.12307,            0.079752,             0.02737,           0.0029172,           0.0090024,           0.0090024,           0.0090868
                   3,            0.066303,            0.037795,            0.009711,             0.35511,             0.34346,             0.21093,            0.057617,            0.087503,             0.02694,           0.0032421,            0.008515,            0.008515,            0.008515
                   4,            0.062588,            0.037455,            0.007507,              0.7111,             0.42944,             0.47472,             0.16268,            0.067144,            0.027577,           0.0031645,            0.008515,            0.008515,            0.008515
                   5,            0.058898,            0.036481,           0.0063619,             0.75551,             0.52902,             0.58945,             0.21374,            0.058566,            0.025034,           0.0021223,             0.00802,             0.00802,             0.00802
                   6,            0.055075,            0.034274,           0.0049721,             0.73262,             0.49447,             0.53353,             0.18239,            0.066878,            0.026462,           0.0011941,            0.007525,            0.007525,            0.007525
                   7,            0.051186,            0.032066,           0.0036754,             0.76902,             0.50204,             0.56944,             0.21275,            0.061909,            0.025677,           0.0013446,             0.00703,             0.00703,             0.00703
                   8,            0.049301,            0.030369,            0.002973,             0.84843,             0.52912,             0.64473,             0.26061,            0.051998,            0.024916,            0.001467,            0.006535,            0.006535,            0.006535
                   9,            0.046665,            0.028689,           0.0023428,             0.77356,              0.5495,             0.64443,             0.28546,            0.054081,            0.025373,           0.0015807,             0.00604,             0.00604,             0.00604
                  10,             0.04534,            0.027403,           0.0019959,             0.77206,             0.59948,             0.67781,             0.30899,            0.052746,            0.023973,           0.0017453,            0.005545,            0.005545,            0.005545
                  11,            0.043842,            0.026468,            0.001857,             0.82625,             0.66134,             0.73367,             0.34254,            0.048468,            0.023244,           0.0011387,             0.00505,             0.00505,             0.00505
                  12,            0.041859,            0.025484,           0.0016059,              0.8438,              0.6464,             0.72634,             0.33456,            0.049769,            0.023309,           0.0010238,            0.004555,            0.004555,            0.004555
                  13,            0.041289,             0.02472,            0.001598,             0.86363,             0.67954,             0.76277,             0.36682,            0.047565,            0.022101,          0.00054219,             0.00406,             0.00406,             0.00406
                  14,            0.039823,            0.024182,           0.0014711,             0.82369,             0.64744,             0.72293,             0.33134,            0.050139,             0.02396,          0.00073079,            0.003565,            0.003565,            0.003565
                  15,            0.039256,            0.023713,           0.0014292,             0.82116,             0.66799,             0.72633,             0.32718,            0.049853,            0.023811,          0.00084997,             0.00307,             0.00307,             0.00307
                  16,             0.03807,            0.023256,           0.0012873,             0.84302,             0.64645,             0.71028,             0.34233,            0.049369,            0.024864,            0.001025,            0.002575,            0.002575,            0.002575
                  17,            0.038282,            0.022977,           0.0013714,             0.84371,             0.66958,             0.74446,             0.35252,            0.047431,            0.023185,           0.0010898,             0.00208,             0.00208,             0.00208
                  18,            0.037969,            0.022616,           0.0013143,             0.85387,             0.66644,             0.74131,             0.35081,            0.047666,            0.023533,           0.0009686,            0.001585,            0.001585,            0.001585
                  19,            0.037761,             0.02233,           0.0012942,             0.86457,             0.67842,             0.75406,             0.35743,            0.046749,            0.022629,          0.00081935,             0.00109,             0.00109,             0.00109
